Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;;;;;;
Negative Control;Blue/Green;0;0.162;0.058;0.564;0.062;0.223;0.184;0.272;0.813;0.781;0.527;0.705;0.676;0.296;0.124;0.166;0;1;19.179;6.0304;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.734;0.733;0.687;0.684;0.809;0.894;0.731;0.997;0.983;0.606;0.986;0.612;0.407;0.659;0.774;0;2;6.0863;0.0008;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.299;0.297;0.668;0.661;0.398;0.656;0.242;0.997;0.983;0.68;0.99;0.684;0.333;0.185;0.299;1;2;0.99784;0.0008;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.197;0.112;0.637;0.213;0.242;0.245;0.24;0.86;0.883;0.561;0.715;0.721;0.331;0.196;0.222;0;1;20.765;4.9075;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.788;0.788;0.758;0.758;0.844;0.991;0.718;1;0.986;0.594;1;0.594;0.416;0.786;0.802;0;2;7.361;0.00091;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.335;0.335;0.668;0.668;0.398;0.522;0.303;0.806;1;0.354;0.354;1;0.367;0.288;0.341;1;2;0.00032;6.1959;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.199;0.112;0.649;0.243;0.246;0.252;0.24;0.869;0.887;0.568;0.726;0.723;0.338;0.199;0.229;0;1;19.958;4.8302;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.789;0.788;0.796;0.794;0.845;0.916;0.78;1;0.987;0.606;1;0.606;0.416;0.787;0.802;0;2;6.5676;0.00085;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.348;0.348;0.677;0.677;0.409;0.477;0.35;0.803;1;0.332;0.332;1;0.371;0.294;0.353;1;2;0.00032;7.2139;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.171;0.063;0.513;-0.037;0.224;0.156;0.323;0.767;0.769;0.467;0.669;0.607;0.304;0.116;0.194;0;1;20.341;5.55;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.76;0.76;0.614;0.612;0.817;0.761;0.878;0.999;0.99;0.612;0.996;0.613;0.411;0.547;0.761;0;2;5.6206;0.00062;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.346;0.346;0.69;0.688;0.43;0.713;0.259;0.999;0.988;0.623;0.996;0.625;0.328;0.186;0.347;1;2;0.94349;0.00062;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.253;0.253;0.248;0.248;0.392;0.206;0.747;0.99;1;0.983;0.983;1;0.283;0.169;0.26;0;1;0.00127;0.00027;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.767;0.767;0.598;0.598;0.824;0.655;1.038;1;1;0.999;0.999;1;0.41;0.552;0.768;0;2;0.00127;0.00059;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.363;0.363;0.723;0.723;0.46;0.695;0.304;1;1;0.982;0.999;0.983;0.327;0.194;0.363;1;2;0.00027;0.00059;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.189;0.102;0.395;-0.154;0.22;0.185;0.261;0.684;0.667;0.326;0.555;0.441;0.33;0.119;0.22;0;1;19.842;5.57;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.771;0.771;0.329;0.329;0.807;1.015;0.642;1;0.97;0.521;1;0.521;0.383;0.503;0.773;0;2;6.2198;0.00046;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.286;0.286;0.55;0.55;0.346;0.685;0.174;1;0.945;0.431;1;0.431;0.307;0.195;0.286;1;2;1.7193;0.00046;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.202;0.116;0.404;-0.138;0.232;0.196;0.274;0.689;0.67;0.331;0.557;0.449;0.333;0.114;0.235;0;1;19.503;5.6836;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.772;0.772;0.251;0.25;0.809;0.915;0.716;1;0.955;0.542;0.999;0.542;0.378;0.505;0.773;0;2;5.6336;0.00041;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.308;0.308;0.643;0.643;0.37;0.655;0.209;1;0.943;0.453;1;0.453;0.307;0.207;0.308;1;2;1.4095;0.00041;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.201;0.054;0.55;0.019;0.281;0.145;0.547;0.833;0.707;0.511;0.75;0.616;0.302;0.19;0.223;0;1;20.983;5.6334;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.727;0.621;0.768;0.672;0.791;1.089;0.575;0.902;0.979;0.614;0.669;0.881;0.406;0.589;0.739;0;2;10.275;4.5712;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.341;0.323;0.681;0.639;0.449;1.499;0.134;0.989;0.96;0.541;0.971;0.55;0.341;0.225;0.341;1;2;2.7964;0.00087;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.211;0.062;0.57;0.056;0.292;0.152;0.564;0.846;0.722;0.523;0.762;0.625;0.309;0.201;0.235;0;1;20.993;5.7946;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.747;0.747;0.604;0.604;0.815;0.976;0.68;1;0.978;0.606;1;0.606;0.403;0.602;0.757;0;2;6.7683;0.00078;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.363;0.363;0.691;0.691;0.471;1.362;0.163;1;0.965;0.503;1;0.503;0.346;0.242;0.363;1;2;2.7217;0.00078;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.146;0.05;0.54;-0.021;0.202;0.231;0.176;0.784;0.785;0.515;0.692;0.667;0.284;0.132;0.174;0;1;20.718;5.2756;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.738;0.738;0.769;0.769;0.81;0.705;0.93;1;0.99;0.673;1;0.673;0.407;0.647;0.761;0;2;5.694;0.00076;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.33;0.326;0.632;0.629;0.396;0.316;0.498;0.758;1;0.31;0.31;1;0.328;0.186;0.33;1;2;0.00038;9.539;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.151;0.055;0.551;0.009;0.207;0.238;0.18;0.801;0.793;0.52;0.701;0.669;0.29;0.133;0.207;0;1;20.512;5.4759;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.742;0.742;0.735;0.732;0.816;0.637;1.045;0.999;0.987;0.711;0.997;0.713;0.406;0.651;0.765;0;2;4.415;0.00068;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.347;0.345;0.639;0.637;0.414;0.295;0.581;0.756;1;0.306;0.306;1;0.333;0.19;0.347;1;2;0.00039;9.449;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.103;-0.001;0.589;0.139;0.164;0.101;0.265;0.871;0.68;0.533;0.747;0.65;0.316;0.078;0.15;0;1;21.828;5.1316;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.746;0.746;0.781;0.781;0.824;0.731;0.929;1;0.987;0.712;1;0.712;0.399;0.613;0.765;0;2;4.2168;0.00078;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.264;0.178;0.699;0.469;0.336;0.57;0.199;0.822;0.975;0.608;0.661;0.883;0.356;0.142;0.264;1;2;2.8757;6.7973;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.112;0.008;0.607;0.19;0.175;0.106;0.287;0.881;0.681;0.543;0.755;0.66;0.324;0.087;0.156;0;1;20.989;5.1136;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.754;0.754;0.775;0.774;0.831;0.685;1.008;1;0.988;0.728;1;0.728;0.402;0.62;0.774;0;2;3.6028;0.00075;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.308;0.308;0.636;0.635;0.414;0.723;0.237;1;0.982;0.701;0.999;0.702;0.352;0.175;0.308;1;2;0.71907;0.00075;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.263;0.263;0.409;0.409;0.385;0.171;0.868;1;1;1;1;1;0.304;0.202;0.272;0;1;0.00149;0.00027;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.762;0.762;0.808;0.807;0.826;0.766;0.889;1;0.985;0.633;1;0.634;0.408;0.583;0.769;0;2;6.3013;0.00081;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.356;0.356;0.593;0.589;0.437;0.829;0.23;1;0.979;0.673;0.996;0.675;0.358;0.18;0.358;1;2;0.48961;0.00081;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.192;0.089;0.624;0.23;0.245;0.151;0.396;0.865;0.832;0.536;0.723;0.675;0.345;0.15;0.214;0;1;23;5.175;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.769;0.769;0.794;0.794;0.83;0.737;0.934;1;0.987;0.631;1;0.631;0.412;0.589;0.771;0;2;5.8043;0.00078;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.374;0.374;0.622;0.622;0.456;0.821;0.254;1;0.987;0.715;1;0.715;0.36;0.19;0.375;1;2;0.35613;0.00078;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.23;0.23;0.622;0.622;0.354;0.179;0.699;1;1;1;1;1;0.303;0.211;0.236;0;1;0.00118;0.00024;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.736;0.736;0.736;0.735;0.804;0.981;0.658;1;0.965;0.596;1;0.597;0.39;0.623;0.744;0;2;7.1448;0.00079;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.289;0.288;0.643;0.642;0.366;0.772;0.173;1;0.945;0.496;0.999;0.496;0.374;0.199;0.289;1;2;1.1522;0.00079;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.175;0.083;0.594;0.269;0.245;0.159;0.378;0.875;0.817;0.523;0.666;0.709;0.33;0.152;0.19;0;1;14.324;3.3966;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.745;0.744;0.761;0.758;0.809;0.833;0.786;1;0.973;0.615;1;0.615;0.393;0.632;0.746;0;2;6.4749;0.00069;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.314;0.313;0.649;0.645;0.394;0.708;0.22;1;0.961;0.543;1;0.543;0.375;0.212;0.314;1;2;0.75465;0.00069;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.448;0.448;0.457;0.457;0.658;0.166;2.611;1;1;0.999;0.999;1;0.31;0.354;0.468;0;1;0.00141;0.00027;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.776;0.776;0.765;0.765;0.845;0.816;0.876;1;0.989;0.671;1;0.671;0.407;0.641;0.794;0;2;5.4131;0.00081;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.55;0.55;0.692;0.692;0.665;2.677;0.165;1;0.966;0.534;1;0.534;0.37;0.4;0.55;1;2;2.265;0.00081;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.331;0.111;0.651;0.219;0.445;0.124;1.592;0.908;0.778;0.589;0.802;0.688;0.333;0.271;0.353;0;1;21.726;5.0219;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.575;0.575;0.712;0.712;0.687;2.594;0.182;1;0.965;0.542;1;0.542;0.373;0.418;0.575;1;2;2.2332;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.778;0.778;0.753;0.753;0.848;0.771;0.933;1;0.987;0.69;1;0.69;0.407;0.646;0.798;0;2;5.1264;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.236;0.116;0.655;0.295;0.292;0.162;0.524;0.914;0.803;0.551;0.743;0.681;0.369;0.182;0.236;0;1;20.649;4.659;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.803;0.802;0.649;0.645;0.847;0.944;0.76;0.997;0.984;0.565;0.989;0.569;0.436;0.624;0.806;0;2;6.9221;0.00084;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.306;0.305;0.643;0.639;0.38;0.911;0.159;0.999;0.954;0.448;0.996;0.449;0.381;0.219;0.306;1;2;1.788;0.00084;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.316;0.316;0.472;0.472;0.425;0.183;0.987;1;1;0.999;1;0.999;0.335;0.251;0.316;0;1;0.0013;0.00026;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.803;0.803;0.621;0.621;0.848;0.863;0.832;1;0.983;0.579;1;0.579;0.435;0.624;0.806;0;2;6.639;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.32;0.32;0.683;0.683;0.394;0.861;0.181;1;0.956;0.451;1;0.451;0.385;0.225;0.32;1;2;1.4688;0.00077;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.279;0.279;0.386;0.386;0.424;0.139;1.294;1;1;1;1;1;0.299;0.248;0.309;0;1;0.00131;0.00022;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.814;0.814;0.629;0.629;0.856;0.807;0.909;1;0.985;0.616;1;0.616;0.42;0.773;0.82;0;2;6.7814;0.0007;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Green/Red;0;0.364;0.364;0.603;0.603;0.443;1.188;0.165;1;0.956;0.456;1;0.456;0.367;0.274;0.368;1;2;1.5842;0.0007;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Green;0;0.184;0.029;0.633;0.164;0.246;0.114;0.53;0.916;1;0.538;0.783;1;0.361;0.156;0.23;0;1;25.15;4.7209;0;0;-;-;No Fluorophore;No Feed;;;;;;
Negative Control;Blue/Red;0;0.813;0.813;0.536;0.532;0.856;0.747;1;1;1;1;1;1;0.418;0.772;0.819;0;2;6.3853;0.00065;0;0;-;-;No Fluorophore;No Feed;;;;;;
